delta_id	registry_id	entity_name	candidate_class	scope_policy	registrable_domain	raw_url	normalized_key	preclassification_hint	source
M4B1D0020	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/edit-infographic	https://infosell.tech/dashboard/generate/edit-infographic	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0021	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/enhance-photo	https://infosell.tech/dashboard/generate/enhance-photo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0022	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/finassistant	https://infosell.tech/dashboard/generate/finassistant	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0023	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/generate-photo	https://infosell.tech/dashboard/generate/generate-photo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0024	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/images	https://infosell.tech/dashboard/generate/images	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0025	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/infographic	https://infosell.tech/dashboard/generate/infographic	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0026	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/logo	https://infosell.tech/dashboard/generate/logo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0027	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/photoshoot	https://infosell.tech/dashboard/generate/photoshoot	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0028	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/product-video	https://infosell.tech/dashboard/generate/product-video	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0029	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/rich-content	https://infosell.tech/dashboard/generate/rich-content	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0030	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/seo-audit	https://infosell.tech/dashboard/generate/seo-audit	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0031	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/slides	https://infosell.tech/dashboard/generate/slides	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0032	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generate/video	https://infosell.tech/dashboard/generate/video	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0033	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/generations	https://infosell.tech/dashboard/generations	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0034	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/history	https://infosell.tech/dashboard/history	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0035	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/referrals	https://infosell.tech/dashboard/referrals	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0036	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/reply-ai	https://infosell.tech/dashboard/reply-ai	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0037	REG012	Infosell	RELEVANT_ONE_OFF_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	infosell.tech	https://infosell.tech/dashboard/team	https://infosell.tech/dashboard/team	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0038	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/about	https://jvo.ru/about	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0039	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/about_jvo	https://jvo.ru/about_jvo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0040	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/agent-communication	https://jvo.ru/agent-communication	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0041	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/agent-prices	https://jvo.ru/agent-prices	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0042	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/agent-reklamy	https://jvo.ru/agent-reklamy	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0043	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/agreement	https://jvo.ru/agreement	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0044	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/analitika-wildberries	https://jvo.ru/analitika-wildberries	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0045	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/blog	https://jvo.ru/blog	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0046	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/career	https://jvo.ru/career	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0047	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/cases	https://jvo.ru/cases	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0048	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/cases/agroimpex	https://jvo.ru/cases/agroimpex	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0049	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/cases/cosmobeauty	https://jvo.ru/cases/cosmobeauty	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0050	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/cases/laretto	https://jvo.ru/cases/laretto	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0051	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/contacts	https://jvo.ru/contacts	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0052	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/education	https://jvo.ru/education	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0053	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/help	https://jvo.ru/help	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0054	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/karta-sayta	https://jvo.ru/karta-sayta	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0055	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/legal	https://jvo.ru/legal	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0056	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/logistics	https://jvo.ru/logistics	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0057	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/pricing	https://jvo.ru/pricing	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0058	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/privacy	https://jvo.ru/privacy	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0059	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/referral-program	https://jvo.ru/referral-program	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0060	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/reviews	https://jvo.ru/reviews	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0061	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/seopro	https://jvo.ru/seopro	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0062	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://jvo.ru/subscription-page	https://jvo.ru/subscription-page	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0063	REG016	Jvo	RECURRING_PRODUCT_VENDOR	THEME_SCOPED_PUBLIC_TAXONOMY	jvo.ru	https://lk.jvo.ru/	https://lk.jvo.ru	AUTH_OR_PRIVATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0064	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/	https://kt-team.ru	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0065	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/aboutus	https://kt-team.ru/aboutus	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0066	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/aboutus/about-pricing	https://kt-team.ru/aboutus/about-pricing	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0067	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/aboutus/feedbacks	https://kt-team.ru/aboutus/feedbacks	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0068	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/aboutus/policy	https://kt-team.ru/aboutus/policy	LEGAL_OR_CORPORATE_CANDIDATE	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0069	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/ai-workshops	https://kt-team.ru/ai-workshops	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0070	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/ai/accounting-process-automation	https://kt-team.ru/ai/accounting-process-automation	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0071	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/ai/agent-sprint-for-executives	https://kt-team.ru/ai/agent-sprint-for-executives	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0072	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog	https://kt-team.ru/blog	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0073	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog-lists/ai-articles	https://kt-team.ru/blog-lists/ai-articles	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0074	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog/agent-bez-prismotra-chem-platit-biznes-za-avtonomnost-ii	https://kt-team.ru/blog/agent-bez-prismotra-chem-platit-biznes-za-avtonomnost-ii	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0075	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog/agent-ili-mcp-instrument-urok-microsoft-dlya-orkestratorov	https://kt-team.ru/blog/agent-ili-mcp-instrument-urok-microsoft-dlya-orkestratorov	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0076	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog/otkazoustoychivost-ai-pochemu-prod-vazhnee-demo	https://kt-team.ru/blog/otkazoustoychivost-ai-pochemu-prod-vazhnee-demo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0077	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog/skorost-pervogo-rezultata-urok-n8n-dlya-integracii-ii	https://kt-team.ru/blog/skorost-pervogo-rezultata-urok-n8n-dlya-integracii-ii	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0078	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/blog/strahovka-dlya-ii-agentov-inzheneriya-vazhnee-modeli	https://kt-team.ru/blog/strahovka-dlya-ii-agentov-inzheneriya-vazhnee-modeli	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0079	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases	https://kt-team.ru/cases	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0080	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/1c	https://kt-team.ru/cases/1c	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0081	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/ai	https://kt-team.ru/cases/ai	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0082	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/akeneo	https://kt-team.ru/cases/akeneo	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0083	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/brandquad	https://kt-team.ru/cases/brandquad	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0084	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/consulting	https://kt-team.ru/cases/consulting	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
M4B1D0085	REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	kt-team.ru	https://www.kt-team.ru/cases/cost-reduction	https://kt-team.ru/cases/cost-reduction	NEEDS_SCOPE_CLASSIFICATION	OPERA_NAVIGATION_ENUMERATION_2026-09-18
