url_id	registry_id	entity_name	original_url	work_terminal_state	post_recovery_state	observed_final_url	recovery_source	needs_structured_page_evidence	evidence_note
M4B1U0185	REG045	Superintellect	https://superintellect.ru/blog/integraciya-ozon-wildberries	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://superintellect.ru/blog/integraciya-ozon-wildberries	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0186	REG045	Superintellect	https://superintellect.ru/changelog/ozon-wildberries-integrations	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://superintellect.ru/changelog/ozon-wildberries-integrations	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0193	REG046	Tablichki	https://tablichki.tech/unit-economy	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://tablichki.tech/unit-economy	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0194	REG046	Tablichki	https://tablichki.tech/plan-fact	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://tablichki.tech/plan-fact	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0195	REG046	Tablichki	https://tablichki.tech/raschet_postavky	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://tablichki.tech/raschet_postavky	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0196	REG046	Tablichki	https://tablichki.tech/dds	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://tablichki.tech/dds	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0204	REG053	Wbcon	https://seo.wbcon.ru/blog/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://seo.wbcon.ru/blog/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0256	REG004	Albato	https://albato.ru/integration-ozon-kissmetrics	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://albato.ru/integration-ozon-kissmetrics	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0293	REG023	Mayak	https://mayak.bz/webinars_mayak	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/webinars_mayak	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0299	REG023	Mayak	https://mayak.bz/koleso?utm_source=koleso&utm_medium=banner_site&utm_campaign=banner	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/koleso?utm_source=koleso&utm_medium=banner_site&utm_campaign=banner	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0300	REG023	Mayak	https://mayak.bz/seller_help?utm_source=interactive&utm_medium=banner_site&utm_campaign=banner1808	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/seller_help?utm_source=interactive&utm_medium=banner_site&utm_campaign=banner1808	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0301	REG023	Mayak	https://mayak.bz/webinars?utm_source=web&utm_medium=banner_site&utm_campaign=web2409	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/webinars?utm_source=web&utm_medium=banner_site&utm_campaign=web2409	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0302	REG023	Mayak	https://mayak.bz/naitinishu?utm_source=home	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/naitinishu?utm_source=home	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0303	REG023	Mayak	https://mayak.bz/profit?utm_source=home	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/profit?utm_source=home	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0314	REG023	Mayak	https://mayak.bz/webinars?utm_source=web&utm_medium=popup&utm_campaign=web2409	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://mayak.bz/webinars?utm_source=web&utm_medium=popup&utm_campaign=web2409	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0315	REG035	Sam X	https://sam-x.ru/wildberries/avtomatizaciya-reklamy	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sam-x.ru/wildberries/avtomatizaciya-reklamy	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0335	REG037	Sellerden	https://sellerden.ru/sellerfox/app/data-uploads	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellerfox/app/data-uploads	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0341	REG037	Sellerden	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/analiz-dinamiki-na-marketpleyse/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellerden/vybor-nishi-na-marketplejsah/analytic-reports/analiz-dinamiki-na-marketpleyse/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0347	REG037	Sellerden	https://sellerden.ru/catalog/reklama-na-sajte-sellerfox/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/reklama-na-sajte-sellerfox/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0348	REG037	Sellerden	https://sellerden.ru/catalog/analitika-pro/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/analitika-pro/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0349	REG037	Sellerden	https://sellerden.ru/catalog/analitika-standard/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/analitika-standard/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0350	REG037	Sellerden	https://sellerden.ru/catalog/analitika-light/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/analitika-light/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0357	REG037	Sellerden	https://sellerden.ru/sellerfox/app/data-uploads?utm_source=internallink&utm_medium=link&utm_campaign=digitalproducts&utm_content=winterdp	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellerfox/app/data-uploads?utm_source=internallink&utm_medium=link&utm_campaign=digitalproducts&utm_content=winterdp	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0358	REG037	Sellerden	https://sellerden.ru/sellerfox/app/unit-economics	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellerfox/app/unit-economics	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0359	REG037	Sellerden	https://sellerden.ru/catalog/upravlenie-postavkoj/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/upravlenie-postavkoj/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0360	REG037	Sellerden	https://sellerden.ru/catalog/proklejka-skotchem/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/proklejka-skotchem/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0361	REG037	Sellerden	https://sellerden.ru/catalog/usluga-upakovki/	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/catalog/usluga-upakovki/	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0363	REG037	Sellerden	https://sellerden.ru/sellerden/?utm_source=link&utm_medium=content-text&utm_campaign=sellerden&utm_content=footer	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellerden/?utm_source=link&utm_medium=content-text&utm_campaign=sellerden&utm_content=footer	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
M4B1U0364	REG037	Sellerden	https://sellerden.ru/sellercow/?utm_source=link&utm_medium=content-text&utm_campaign=sellerden&utm_content=footer	EXECUTION_ENVIRONMENT_FAILURE	INSPECTED	https://sellerden.ru/sellercow/?utm_source=link&utm_medium=content-text&utm_campaign=sellerden&utm_content=footer	Opera Browser Connector 2026-09-18	true	Opera rendered readable public page content; Work environment failure/dynamic state was not treated as site failure.
