registry_id	entity_name	candidate_class	registrable_domain	scope_policy	anchors_accounted	discovered_url_count	inspected_page_count	blocked_url_count	unresolved_url_count	primary_public_positioning	user_jobs	marketplace_scope	data_scope	ai_llm_framing	read_analysis_vs_write_automation_framing	integrations	pricing_availability	proof_trust	cta_pattern	content_architecture_pattern	octoport_overlap	octoport_difference	candidate_gap_count	completion_state	unresolved_reason
REG013	Insales	RECURRING_PRODUCT_VENDOR	insales.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2/2	9	11	0	0	AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | REVIEWS_SUPPORT | SELLER_ANALYTICS | INTEGRATION_CONNECTION	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS	GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM	WILDBERRIES | GENERIC_AI | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	TRY | REGISTER | BUY_OR_LEAD | CONNECT | DEMO | REGISTER | BUY_OR_LEAD | TRY | REGISTER | TRY | REGISTER | CONNECT | REGISTER | CONNECT | REGISTER | BUY_OR_LEAD | CONNECT | REGISTER | BUY_OR_LEAD | DEMO | TRY | REGISTER | CONNECT | REGISTER	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	17	COMPLETE_BOUNDED_FRONTIER	none
REG014	Itgalaxy	RECURRING_PRODUCT_VENDOR	itgalaxy.company	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	4	4	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY	AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SELLER_ANALYTICS | REPORTING_FINANCE	WILDBERRIES | OZON | YANDEX_MARKET	STOCKS | ADS | REVIEWS | ORDERS | SALES	AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT	NOT_OBSERVED_IN_CAPTURE | PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | SECURITY_CLAIM | NOT_OBSERVED	CONNECT | NOT_OBSERVED	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	5	COMPLETE_BOUNDED_FRONTIER	none
REG015	Jafo	RECURRING_PRODUCT_VENDOR	jafo.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4/4	1	5	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	AI_AGENT | CHATGPT_OPENAI | CLAUDE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT | CHATGPT_OPENAI | CLAUDE	PUBLIC_PRICE_OR_TRIAL_MENTION	API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	DEMO | TRY | CONNECT | DEMO | TRY | REGISTER | CONNECT | TRY | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	10	COMPLETE_BOUNDED_FRONTIER	none
REG016	Jvo	RECURRING_PRODUCT_VENDOR	jvo.ru	THEME_SCOPED_PUBLIC_TAXONOMY	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | REPORTING_FINANCE | INTEGRATION_CONNECTION	WILDBERRIES | OZON	SALES | ADS | REVIEWS | STOCKS	AI_AGENT	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM | WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	DEMO | REGISTER | DEMO | TRY | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG018	Kt Team	RELEVANT_ONE_OFF_PRODUCT_VENDOR	kt-team.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | COMPETITOR_OR_NICHE	CLAUDE | AI_AGENT	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CLAUDE | AI_AGENT	NOT_OBSERVED_IN_CAPTURE	CASES_OR_TESTIMONIALS | SECURITY_CLAIM	CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG019	Legasoft	RECURRING_PRODUCT_VENDOR	legasoft.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	CHATGPT_OPENAI | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | CREATIVE_GENERATION_COMPETITOR_CLAIM	WILDBERRIES | CHATGPT_OPENAI | OZON	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | SECURITY_CLAIM	REGISTER | BUY_OR_LEAD | CONNECT | DEMO | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	3	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG020	Limescope	RECURRING_PRODUCT_VENDOR	limescope.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | FINANCE	NOT_OBSERVED	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	SECURITY_CLAIM	TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG021	Marketaut	RECURRING_PRODUCT_VENDOR	marketaut.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | PRICING_REPRICING | REPORTING_FINANCE	REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | PRICING_REPRICING | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON	NOT_OBSERVED	CHATGPT_OPENAI | CLAUDE | AI_AGENT	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | CHATGPT_OPENAI | CLAUDE | AI_AGENT	PUBLIC_PRICE_OR_TRIAL_MENTION	NOT_OBSERVED	NOT_OBSERVED	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	1	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG022	Marpla	RECURRING_PRODUCT_VENDOR	marpla.ru	THEME_SCOPED_PUBLIC_TAXONOMY	4/4	0	3	0	1	AD_ANALYTICS_OR_AUTOMATION | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | REVIEWS_SUPPORT | SEARCH_OR_NICHE_ANALYTICS	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | PRICING_REPRICING | REPORTING_FINANCE | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES	ORDERS | SALES | ADS | REVIEWS | SEARCH_TERMS | COMPETITOR_OR_NICHE | STOCKS | FINANCE	NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	REGISTER | BUY_OR_LEAD | DEMO | REGISTER | CONNECT | REGISTER	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	6	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG023	Mayak	RECURRING_PRODUCT_VENDOR	mayak.bz	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	33	25	2	7	AD_ANALYTICS_OR_AUTOMATION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | REVIEWS_SUPPORT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION	WILDBERRIES | OZON | YANDEX_MARKET	SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | ORDERS | SEARCH_TERMS	NOT_OBSERVED | GENERIC_AI | CHATGPT_OPENAI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_AI | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM	TRY | REGISTER | DEMO | BUY_OR_LEAD | DEMO | TRY | REGISTER | CONNECT | TRY | REGISTER | CONNECT | BUY_OR_LEAD | CONNECT | DEMO | REGISTER | BUY_OR_LEAD | REGISTER | BUY_OR_LEAD | CONNECT | REGISTER | BUY_OR_LEAD | BUY_OR_LEAD | TRY | REGISTER | BUY_OR_LEAD | CONNECT | NOT_OBSERVED	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	40	RECOVERY_REQUIRED	7 unresolved URL(s)
REG024	Moysklad	RECURRING_PRODUCT_VENDOR	moysklad.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	4/4	0	3	0	1	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	CHATGPT_OPENAI | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | SECURITY_CLAIM	TRY | BUY_OR_LEAD | CONNECT | TRY | REGISTER | BUY_OR_LEAD | CONNECT | DEMO | TRY | REGISTER | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	5	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG025	Mpboost	RECURRING_PRODUCT_VENDOR	mpboost.pro	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | REPORTING_FINANCE	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING	WILDBERRIES | OZON	SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	REGISTER	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG026	Mpfact	RECURRING_PRODUCT_VENDOR	mpfact.ru	THEME_SCOPED_PUBLIC_TAXONOMY	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING | REPORTING_FINANCE	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE	NOT_OBSERVED	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON	PUBLIC_PRICE_OR_TRIAL_MENTION	SECURITY_CLAIM	TRY | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	1	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG027	Mpmgr	RECURRING_PRODUCT_VENDOR	mpmgr.ru	THEME_SCOPED_PUBLIC_TAXONOMY	5/5	0	5	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | INVENTORY_SUPPLY | PRICING_REPRICING	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE | COMPETITOR_OR_NICHE | SEARCH_TERMS	AI_AGENT | CHATGPT_OPENAI | CLAUDE	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | AI_AGENT | CHATGPT_OPENAI | CLAUDE	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	DEMO | TRY | REGISTER | CONNECT | TRY | CONNECT | TRY | BUY_OR_LEAD | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	10	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG028	Mpstats	RECURRING_PRODUCT_VENDOR	mpstats.io	THEME_SCOPED_PUBLIC_TAXONOMY	11/11	0	8	2	1	INTEGRATION_CONNECTION | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER | SELLER_PROCEDURAL_HELP	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | FINANCE | COMPETITOR_OR_NICHE	GENERIC_AI | CHATGPT_OPENAI | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_AI | CHATGPT_OPENAI	PUBLIC_PRICE_OR_TRIAL_MENTION	API_OR_PARTNER_CLAIM | SECURITY_CLAIM | CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM	DEMO | TRY | REGISTER | BUY_OR_LEAD | CONNECT | DEMO | TRY | DEMO | BUY_OR_LEAD | TRY | BUY_OR_LEAD | DEMO | TRY | BUY_OR_LEAD | DEMO | REGISTER | BUY_OR_LEAD	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	15	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser; 1 unresolved URL(s)
REG029	Openclaw	RELEVANT_ONE_OFF_PRODUCT_VENDOR	openclaw.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2/2	6	4	0	0	AI_OR_DIGITAL_HELPER | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT | AD_ANALYTICS_OR_AUTOMATION | INTEGRATION_CONNECTION	SELLER_ANALYTICS | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | INTEGRATION_CONNECTION | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | REPORTING_FINANCE | SEARCH_OR_NICHE_ANALYTICS	WILDBERRIES | OZON | YANDEX_MARKET | GENERIC_MARKETPLACE	ORDERS | SALES | STOCKS | ADS | REVIEWS | SEARCH_TERMS | COMPETITOR_OR_NICHE | FINANCE	CHATGPT_OPENAI | AI_AGENT | NOT_OBSERVED	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM | READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET | CHATGPT_OPENAI | AI_AGENT | GENERIC_MARKETPLACE	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS	TRY | CONNECT	Accepted anchors plus enumerated same-entity one-hop feature/help/content frontier	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	7	COMPLETE_BOUNDED_FRONTIER	none
REG031	Promopult	RECURRING_PRODUCT_VENDOR	promopult.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	2/2	0	2	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	SELLER_ANALYTICS | REPORTING_FINANCE | AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | INVENTORY_SUPPLY | PRICING_REPRICING | SELLER_PROCEDURAL_HELP | AI_OR_DIGITAL_HELPER | INTEGRATION_CONNECTION | REVIEWS_SUPPORT	WILDBERRIES | OZON	ORDERS | SALES | STOCKS | ADS | SEARCH_TERMS | COMPETITOR_OR_NICHE | REVIEWS | FINANCE	GENERIC_AI	WRITE_OR_AUTOMATION_COMPETITOR_CLAIM	WILDBERRIES | GENERIC_AI | OZON	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	BUY_OR_LEAD | REGISTER | BUY_OR_LEAD | CONNECT	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Includes competitor automation/write/creative claims outside Octoport launch boundary	4	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
REG034	Saintpack	SERVICE_OR_AGENCY	saintpack.ru	EVIDENCE_ANCHORED_RELEVANT_SUBTREE	1/1	0	1	0	0	AD_ANALYTICS_OR_AUTOMATION | AI_OR_DIGITAL_HELPER | INVENTORY_SUPPLY | PRICING_REPRICING | PRODUCT_CARD_OR_CONTENT	AD_ANALYTICS_OR_AUTOMATION | PRODUCT_CARD_OR_CONTENT | SEARCH_OR_NICHE_ANALYTICS | REVIEWS_SUPPORT | INVENTORY_SUPPLY | PRICING_REPRICING | AI_OR_DIGITAL_HELPER	WILDBERRIES | OZON | YANDEX_MARKET	ORDERS | SALES | STOCKS | ADS | REVIEWS | FINANCE	NOT_OBSERVED	READ_ANALYZE_RECOMMEND_OR_MIXED_COMPETITOR_CLAIM	WILDBERRIES | OZON | YANDEX_MARKET	PUBLIC_PRICE_OR_TRIAL_MENTION	CASES_OR_TESTIMONIALS | API_OR_PARTNER_CLAIM | SECURITY_CLAIM	BUY_OR_LEAD	Accepted anchors captured; same-entity navigation enumeration requires recovery	Seller analytics/help/AI/task vocabulary; competitor evidence only	Mechanism, source authority and capability cannot transfer to Octoport	2	RECOVERY_REQUIRED	same-entity navigation could not be enumerated in browser
